Job Title,Company,Experience,Location,Salary,Link,Skills
Senior Bioinformatics Statistical Analyst,ApicalGo Consultancy,"<span class=""ellipsis fleft fs12 lh16"" title=""1-6 Yrs "">1-6 Yrs</span>","Kolkata, Mumbai, Hyderabad/Secunderabad, Lucknow, Chennai, Ahmedabad, Delhi / NCR, Bangalore/Bengaluru",Not disclosed,"=HYPERLINK(""https://www.naukri.com/job-listings-senior-bioinformatics-statistical-analyst-apicalgo-consultancy-kolkata-mumbai-hyderabad-secunderabad-lucknow-chennai-ahmedabad-delhi-ncr-bangalore-bengaluru-1-to-6-years-220822901065"")","data analysis, Unix, Java, Perl, monitoring, analytical skills, MATLAB, Fortran"
MIS Executive and Business Analyst,Sanvie Retail Pvt Ltd,"<span class=""ellipsis fleft fs12 lh16"" title=""4-8 Yrs "">4-8 Yrs</span>",Kolkata(Syed Amir Ali Avenue),"3,00,000 - 4,50,000 PA.","=HYPERLINK(""https://www.naukri.com/job-listings-mis-executive-and-business-analyst-sanvie-retail-pvt-ltd-kolkata-4-to-8-years-200622005202"")","Macros, Pivot Table, hlookup, SUMIF, Countif, Concatenate, advanced excel, Conditional Formatting"
Service Delivery _ OSS _ Data Scientist,Ericsson,"<span class=""ellipsis fleft fs12 lh16"" title=""4-8 Yrs "">4-8 Yrs</span>",Kolkata,Not disclosed,"=HYPERLINK(""https://www.naukri.com/job-listings-service-delivery-oss-data-scientist-ericsson-india-global-services-pvt-ltd-kolkata-4-to-8-years-050522500411"")","Bidding, Data management, PHP, Google AdWords, HTML, microsoft, Data mining, Statistics"
Lead Product Analyst - Internet/Online/KPO,TalentStack,"<span class=""ellipsis fleft fs12 lh16"" title=""5-10 Yrs "">5-10 Yrs</span>","Kolkata, Mumbai, Hyderabad/Secunderabad, Pune, Chennai, Ahmedabad, Bangalore/Bengaluru, Delhi / NCR",Not disclosed,"=HYPERLINK(""https://www.naukri.com/job-listings-lead-product-analyst-internet-online-kpo-talentstack-kolkata-mumbai-hyderabad-secunderabad-pune-chennai-ahmedabad-bangalore-bengaluru-delhi-ncr-5-to-10-years-300822908621"")","Product Analytics, product design, Data Visualization, Tableau, Data Analytics, Statistics, Analytics, SQL"
Data Scientist Lead_Tata Consultancy Services(Tcs),TATA CONSULTANCY SERVICES (TCS),"<span class=""ellipsis fleft fs12 lh16"" title=""8-12 Yrs "">8-12 Yrs</span>","Kolkata, Hyderabad/Secunderabad, Chennai, Bangalore/Bengaluru",Not disclosed,"=HYPERLINK(""https://www.naukri.com/job-listings-data-scientist-lead-tata-consultancy-services-tcs-tata-consultancy-services-ltd-kolkata-hyderabad-secunderabad-chennai-bangalore-bengaluru-8-to-12-years-190822001529"")","Python, R Programming, IT Skills, Data Science, data scientist"
Data Scientist,Imurgence,"<span class=""ellipsis fleft fs12 lh16"" title=""2-4 Yrs "">2-4 Yrs</span>","Kolkata, Mumbai, Jamshedpur",Not disclosed,"=HYPERLINK(""https://www.naukri.com/job-listings-data-scientist-imurgence-kolkata-mumbai-jamshedpur-2-to-4-years-220221501627"")","Mining, Supply chain, Computer science, Data analysis, Operations research, Coding, Artificial Intelligence, Machine learning"
Sr. Officer / Assistant Manager Data Analytics,RSM,"<span class=""ellipsis fleft fs12 lh16"" title=""2-4 Yrs "">2-4 Yrs</span>","Kolkata, Mumbai, Gandhidham, Chennai, Bangalore/Bengaluru",Not disclosed,"=HYPERLINK(""https://www.naukri.com/job-listings-sr-officer-assistant-manager-data-analytics-rsm-kolkata-mumbai-gandhidham-chennai-bangalore-bengaluru-2-to-4-years-060622501133"")","Data analysis, Assurance, Manager Quality Assurance, cyber security, Data processing, Data quality, data visualization, Information technology"
Hiring For Big4 - Sr. Data Scientist,Contactx India,"<span class=""ellipsis fleft fs12 lh16"" title=""7-12 Yrs "">7-12 Yrs</span>","Kolkata, Mumbai, Hyderabad/Secunderabad, Lucknow, Chennai, Ahmedabad, Delhi / NCR, Bangalore/Bengaluru",Not disclosed,"=HYPERLINK(""https://www.naukri.com/job-listings-hiring-for-big4-sr-data-scientist-contactx-india-kolkata-mumbai-hyderabad-secunderabad-lucknow-chennai-ahmedabad-delhi-ncr-bangalore-bengaluru-7-to-12-years-280722901859"")","Credit Lending, Credit Strategy, Machine learning, SQL, SAS, Python, IT Skills, Model Deployment"
Data Scientist - Machine Learning,Corner Tree Consulting,"<span class=""ellipsis fleft fs12 lh16"" title=""6-10 Yrs "">6-10 Yrs</span>","Kolkata, Mumbai, Hyderabad/Secunderabad, Pune, Chennai, Ahmedabad, Delhi / NCR, Bangalore/Bengaluru",Not disclosed,"=HYPERLINK(""https://www.naukri.com/job-listings-data-scientist-machine-learning-corner-tree-consulting-kolkata-mumbai-hyderabad-secunderabad-pune-chennai-ahmedabad-delhi-ncr-bangalore-bengaluru-6-to-10-years-080822907588"")","Data Scientist, Time Series Analysis, Data Management, CICD, Azure IoT, Data Analytics, Machine learning, DevOps"
Data Engineer - Dimensional Modelling/Data Warehousing,Marktine,"<span class=""ellipsis fleft fs12 lh16"" title=""3-6 Yrs "">3-6 Yrs</span>","Kolkata, Mumbai, Hyderabad/Secunderabad, Pune, Chennai, Bangalore/Bengaluru",Not disclosed,"=HYPERLINK(""https://www.naukri.com/job-listings-data-engineer-dimensional-modelling-data-warehousing-marktine-kolkata-mumbai-hyderabad-secunderabad-pune-chennai-bangalore-bengaluru-3-to-6-years-310822904425"")","Dimensional Modeling, Microsoft Azure, Data Warehousing, Data Modelling, IT Skills, Cloud, Big Data, Azure"
