Job Title,Company,Experience,Location,Salary,Link,Skills
MIS Executive - Reliance Retail,Reliance Retail,"<span class=""ellipsis fleft fs12 lh16"" title=""2-7 Yrs "">2-7 Yrs</span>","Kochi/Cochin, Guwahati, Bhopal, Patna, Ahmedabad, Raipur",Not disclosed,"=HYPERLINK(""https://www.naukri.com/job-listings-mis-executive-reliance-retail-reliance-retail-limited-guwahati-kochi-cochin-bhopal-patna-ahmedabad-raipur-2-to-7-years-120822006223"")","SAP, Excel"
Spring,Wipro,"<span class=""ellipsis fleft fs12 lh16"" title=""7-10 Yrs "">7-10 Yrs</span>",Kochi,"8,00,000 - 13,00,000 PA.","=HYPERLINK(""https://www.naukri.com/job-listings-spring-wipro-limited-kochi-7-to-10-years-290822010023"")","spring, data modeling, plsql, ERD, PL SQL, RDBMS, cloud, written"
Senior Power BI Architect,Burndy Technology and Global Business Services Private Limited,"<span class=""ellipsis fleft fs12 lh16"" title=""7-9 Yrs "">7-9 Yrs</span>",Kochi/Cochin,Not disclosed,"=HYPERLINK(""https://www.naukri.com/job-listings-senior-power-bi-architect-burndy-technology-and-global-business-services-private-limited-kochi-cochin-7-to-9-years-090322007899"")","power bi, Power BI Model, SSAS - Tabular, Star-Schema Modeling, Multidimensional Model, Business Intelligence Architecture, Reporting and Analytics, Data modeling"
Sr. Executive Digital Media Planning,cmercury,"<span class=""ellipsis fleft fs12 lh16"" title=""2-5 Yrs "">2-5 Yrs</span>",Kochi,Not disclosed,"=HYPERLINK(""https://www.naukri.com/job-listings-sr-executive-digital-media-planning-cmercury-ernakulam-kochi-cochin-2-to-5-years-280121501204"")","Social media marketing, Campaign planning, Digital media, Data analysis, Analytical, Internet marketing, Digital marketing, Media planning"
Research Specialist,Accenture,"<span class=""ellipsis fleft fs12 lh16"" title=""5-8 Yrs "">5-8 Yrs</span>",Kochi/Cochin,Not disclosed,"=HYPERLINK(""https://www.naukri.com/job-listings-research-specialist-accenture-solutions-pvt-ltd-kochi-cochin-5-to-8-years-080822903133"")","Business process, Business research, Financial analysis, Secondary research"
Senior US IT Recruiter,Benchire,"<span class=""ellipsis fleft fs12 lh16"" title=""3-8 Yrs "">3-8 Yrs</span>",Kochi/Cochin,Not disclosed,"=HYPERLINK(""https://www.naukri.com/job-listings-senior-us-it-recruiter-benchire-kochi-cochin-3-to-8-years-270821500568"")",Us It Recruiter
Officer-finance,Next Education India,"<span class=""ellipsis fleft fs12 lh16"" title=""2-5 Yrs "">2-5 Yrs</span>","Kochi/Cochin, Ernakulam","2,50,000 - 3,00,000 PA.","=HYPERLINK(""https://www.naukri.com/job-listings-officer-finance-next-education-india-pvt-ltd-kochi-cochin-ernakulam-2-to-5-years-300822007946"")","TDS Calculation, Payables, accounting, Bank Reconciliation"
Territory Manager(Glass/Automotive/ACP/Plywood/facade/OEM) industry,fuso glass india pvt ltd,"<span class=""ellipsis fleft fs12 lh16"" title=""2-7 Yrs "">2-7 Yrs</span>","Ernakulam, Pune, Chennai","2,50,000 - 6,00,000 PA.","=HYPERLINK(""https://www.naukri.com/job-listings-territory-manager-glass-automotive-acp-plywood-facade-oem-industry-fuso-glass-india-pvt-ltd-ernakulam-pune-chennai-2-to-7-years-020922005317"")","Large Account Selling, Key Account Management, Business Communication Skills, New Market Development, relationship management, Time Management, Negotiation Skills, customer service"
Marketing Executive,Connecting 2 Work,"<span class=""ellipsis fleft fs12 lh16"" title=""2-4 Yrs "">2-4 Yrs</span>",Kochi,Not disclosed,"=HYPERLINK(""https://www.naukri.com/job-listings-marketing-executive-connecting-2-work-ernakulam-kochi-cochin-2-to-4-years-110520501044"")","Business administration, Data analysis, Web analytics, Social media, Strategic planning, Market research, Brand awareness, MS Office"
Digital Marketing Executive,Nuvento Systems,"<span class=""ellipsis fleft fs12 lh16"" title=""2-7 Yrs "">2-7 Yrs</span>",Kochi,Not disclosed,"=HYPERLINK(""https://www.naukri.com/job-listings-digital-marketing-executive-nuvento-ernakulam-kochi-cochin-2-to-7-years-040520500571"")","Data analysis, Google Analytics, Social media, Wordpress, HTML, SEO, Digital marketing, MS Office"
